"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other",10.1716,10.1716,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other",6.4076,12.8152,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09noccom","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",9.027,9.027,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other",11.2138,20.5588,24.2964,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"Sturt03E2","EN","ET","FPRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",11.17055,3.036,38.6102,-1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1LO","EN","ET","FPRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",5.7536,16.81,3.1022,-1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1HI","EN","ET","FPRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",5.15015,14.2866,3.157,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl14E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",13.73585,13.0484,41.895,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1.01,0,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",15.0272,12.934,23.5874,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2LO","EN","ET","FPRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",27.60775,62.3816,48.0494,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2HI","EN","ET","FPRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",10.52215,14.873,27.2156,-1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"Sturt03E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",5.0711,16.7928,1.7458,1
4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj_OR_topic",11.6078,11.6078,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09inaccMism","EN","ET","FPRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",7.936,7.936,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,3,"JaegerEtAl15E2","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other",13.408,13.408,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",15.18535,27.0288,33.7126,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",10.214,10.214,NA,1
4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj_OR_topic",17.3048,17.3048,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1.01,0,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other",20.87245,13.7706,34.8596,-1
4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",19.6958,19.6958,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other",9.3563,1.5338,17.1788,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",20.9119,7.9036,33.9202,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",20.02655,19.9686,30.0688,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",14.2936,24.3296,16.4224,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",29.1264,6.198,52.0548,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E3RNsing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",7.9591,1.9416,13.9766,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E3RNplu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj_OR_topic",3.6004,2.0178,10.366,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.2548,0.360200000000001,10.1494,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",22.7194,49.7816,41.096,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other",22.0298,51.0144,18.5524,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",25.3565,50.713,NA,1
2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other",1.0384,1.0384,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other",8.08525,21.8826,5.2292,1
2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E4pp","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",11.11745,39.553,2.4584,1
4,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,0,0,-1,0,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",69.9482,69.9482,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",2.4252,2.4252,NA,1
4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.454799999999999,0.454799999999999,NA,1
2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",2.6952,2.6952,NA,1
4,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",17.3876,17.3876,NA,1
