"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",29.7012,29.7012,NA,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",107.928,107.928,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other","other","low",6.5103,20.3044,2.8684,-1
4,0.175,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",13.89245,38.7836,16.7862,-1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other","other","low",11.48085,39.7678,3.0778,-1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other","other","low",17.6548,17.6548,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",19.0309,38.0618,NA,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other","other","low",16.8493,10.6376,28.3798,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"WagersEtAl09E4","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",28.07775,30.0658,41.1226,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",21.4393,14.012,35.8726,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",1.217,2.434,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other","other","low",30.815,30.815,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,1,"VanDykeEtAl11E2bPro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other","other","low",4.0522,4.0522,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",49.1108,49.1108,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"VanDyke07E2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",38.3488,38.3488,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other","other","low",1.6306,1.6306,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"VanDykeEtAl11E2bRetro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other","other","low",4.5424,9.0848,NA,1
